distributor,frequency,important
Metropolitan FilmExport,834,True
Warner Bros. France,663,True
Universal Pictures International France,545,True
Twentieth Century Fox France,506,True
Pathé,463,True
Sony Pictures Releasing France,396,True
SND,387,True
StudioCanal,356,True
The Walt Disney Company France,348,True
Paramount Pictures France,342,True
Le Pacte,300,True
Mars Films,280,True
Pyramide Distribution,275,True
Wild Bunch Distribution,271,True
Bac Films,267,True
ARP Sélection,256,True
United International Pictures (UIP),244,True
Gaumont Distribution,218,True
EuropaCorp Distribution,202,True
Diaphana Distribution,200,True
Ad Vitam,193,True
Eurozoom,191,True
UGC Distribution,185,True
Haut et Court,180,True
Rezo Films,170,True
TFM Distribution,160,True
KMBO,135,True
Mars Distribution,126,True
Les Films du Losange,125,True
Memento Distribution,119,True
Dulac Distribution,113,True
Shellac,106,True
Bodega Films,102,True
Epicentre Films,101,True
UFD,99,True
Buena Vista International,99,True
Gaumont Columbia Tristar Films,98,True
Jour2fête,96,True
UFO Distribution,94,True
Condor Distribution,93,True
Columbia TriStar Films,88,True
MK2 Diffusion,73,True
Gebeka Films,67,True
Océan Films,66,True
Diaphana Films,61,True
Apollo Films,60,True
Happiness Distribution,57,True
The Jokers / Les Bookmakers,56,True
Arizona Distribution,56,True
ASC Distribution,53,True
Alfama Films,53,True
Urban Distribution,50,True
Outplay Films,50,True
Bellissima Films,50,True
Pretty Pictures,50,True
Zootrope Films,46,True
Alba Films,45,True
Ed Distribution,45,True
Potemkine Films,44,True
Damned Distribution,43,True
Art House,40,True
Zelig Films Distribution,40,True
Les Bookmakers / Capricci Films,40,True
Nour Films,37,True
Les Acacias,36,True
Les Films du Préau,36,True
Wild Side Films / Le Pacte,34,True
UGC,32,True
Tamasa Distribution,32,True
JHR Films,32,True
Destiny Films,31,True
1 nomination,31,True
Chrysalis Films,30,True
KapFilms,30,True
Wayna Pitch,29,True
Optimale Distribution,29,True
Paname Distribution,29,True
Gaumont Buena Vista International (GBVI),29,True
CTV International,27,True
Orange Studio Distribution / UGC Distribution,27,True
Films sans Frontières,26,True
La Belle Company,26,True
Paradis Films,26,True
Tandem,24,True
Septième Factory,24,True
New Story,22,True
La Fabrique de Films,22,True
Star Invest Films France,21,True
Carlotta Films,20,True
The Jokers / Le Pacte,20,True
Aramis Films,19,True
DistriB Films,18,True
Pan Européenne Edition,17,True
Cinéma Saint-André des Arts,16,True
TF1 Vidéo,16,True
Saje Distribution,16,True
SBS Distribution,15,True
Quinta Distribution,15,True
Luminor (La Fabrique),15,True
Capricci Films,15,True
Jupiter Films,15,True
Equation,15,True
Colifilms Diffusion,14,True
L'Atelier Distribution,14,True
Les Films à Fleur de Peau,13,True
Gémini Films,13,True
UGC Ph,13,True
Bobine Films,12,True
Hévadis Films,12,True
MC4 Distribution,12,True
Blaq Out,12,True
Chapeau Melon Distribution,11,True
CGR EVENTS,11,True
ZED,11,True
Cinéma Public Films,10,False
JML Distribution,10,False
Norte Distribution,10,False
Rouge Distribution,10,False
2 nominations,10,False
Survivance,10,False
Météore Films,10,False
VisioSfeir,10,False
La Vingt-Cinquième Heure,9,False
A3 Distribution,9,False
Kinovista,9,False
Panoceanic Films,8,False
Les Valseurs,8,False
Premium Films,8,False
Dissidenz Films,8,False
Mica Films,8,False
Tanzi Distribution,8,False
Splendor Films,8,False
LFR Films,7,False
Stray Dogs Distribution,7,False
The Jokers / Bac Films,7,False
Contre-Allée Distribution,7,False
La Fabrique 2,7,False
Pathé Live,7,False
Malavida Films,7,False
Vendredi Distribution,7,False
Universal Pictures France (UPF),7,False
Euro TV,7,False
Albany Films distribution,7,False
Why Not Productions,7,False
20th Century Studios,7,False
Solaris Distribution,7,False
NiZ !,7,False
# prix,6,False
DHR distribution / A Vif Cinemas,6,False
White Pictures,6,False
Carrère Group,6,False
Légende Distribution,6,False
Ouragan films,6,False
Takami Distribution,6,False
Moonlight Films Distribution,6,False
Les Films des Deux Rives,6,False
Aanna Films,5,False
Les Films du Paradoxe,5,False
Luminor (CTV),5,False
Night ed films,5,False
Next Film Distribution,5,False
ACE Entertainment Films,5,False
Zinc Film,5,False
Les Alchimistes,5,False
Margo Cinema,5,False
Les Films de l'Atalante,5,False
Pathé / Orange Studio,5,False
Promenades Films,5,False
Fondivina Films,5,False
Apollo Films / Orange Studio,4,False
2iFILMS,4,False
Ciné Sorbonne,4,False
Zootrope Films / Luminor,4,False
4 nominations,4,False
Dark Star Presse,4,False
Kinovista / Bac Films,4,False
Marco Polo Production,4,False
Sagittaire Films,4,False
Dialectik,4,False
Héliotrope Films,4,False
BlueBird Distribution,4,False
Help Distribution,4,False
Pan Distribution,4,False
Fratel Films,4,False
Floris Films,4,False
ID Distribution,4,False
5 nominations,4,False
UPL Films Distributions,4,False
M6 Vidéo,4,False
Cinévia Films,4,False
ESC Films,4,False
3 nominations,4,False
1 prix et 2 nominations,4,False
272 833 entrées,4,False
Les Films du Camelia,4,False
9ème Dimension,3,False
110 315 entrées,3,False
Euripide Distribution,3,False
1 379 147 entrées,3,False
2 981 013 entrées,3,False
26 822 entrées,3,False
Autour de minuit,3,False
Condor / KMBO,3,False
546 260 entrées,3,False
186 002 entrées,3,False
Ciné Classic,3,False
La Traverse,3,False
Mag Distribution,3,False
La Fabrica Nocturna Cinéma,3,False
Zylo,3,False
Kinovista / New Story,3,False
Pierre Grise Distribution,3,False
ADR Productions,3,False
L.C.J. Editions et Productions,3,False
Baba Yaga Films,3,False
Aramis Films / Albany films,3,False
Eivissa Productions,3,False
Tucuman Films,3,False
Artédis,3,False
Richard Wagner Productions,3,False
Happiness,3,False
Marc Guidoni / Fodivina Films,3,False
Grizouille Films,3,False
Ligne 7,3,False
Local Films,3,False
88 641 entrées,3,False
Noblesse Oblige Distribution,3,False
259 782 entrées,3,False
KMBO / Luminor,3,False
Mary-X Distribution,3,False
984 907 entrées,3,False
381 611 entrées,3,False
Filmo,3,False
4 141 192 entrées,3,False
Synergy Cinéma,3,False
Kinovista / Les Bookmakers,3,False
90 933 entrées,3,False
444 429 entrées,3,False
Atypik Films,3,False
Backup Films,3,False
Warner Bros.,3,False
Jour 2 Fête / Chrysalis Films,3,False
Orange Studio,3,False
1 prix et 11 nominations,3,False
Studio Canal,3,False
843 335 entrées,3,False
1 prix et 14 nominations,3,False
6 nominations,3,False
5 010 728 entrées,3,False
MK2 / Diaphana,3,False
Folimage Studio,3,False
EuropaCorp Distribution / ARP Sélection,3,False
Les Films 13,3,False
JHR Films / Jour2Fête,3,False
Carron Distribution,3,False
Buena Vista Pictures,3,False
Stone Angels,3,False
1 prix et 3 nominations,3,False
341 964 entrées,3,False
268 183 entrées,3,False
ESC Editions,3,False
Beez Entertainment,2,False
221 852 entrées,2,False
Pointligneplan,2,False
La Butte Distribution,2,False
Quizas Prod,2,False
70 822 entrées,2,False
Productions 9,2,False
Atopic,2,False
Dean Medias,2,False
Arte,2,False
La Belle Company / Apollo Films,2,False
L'Entrepôt,2,False
Tous Seuls Production,2,False
21films,2,False
Mad Films / Help Distribution,2,False
Karmafilms Distribution,2,False
Les Films Aramis,2,False
TS Productions,2,False
Orange studio / Tandem,2,False
Borealia Films,2,False
Orange Studio / Alba Films,2,False
Wide Distribution,2,False
Zeugma Films,2,False
Ouranos Films,2,False
Opening Distribution,2,False
Bac Films / DistriB Films,2,False
The Jokers / Capricci,2,False
Panorama Films,2,False
38 entrées,2,False
Swashbuckler Films,2,False
Sokol films,2,False
Alba Films / Trésor Cinéma,2,False
Cinessonne,2,False
Medula Films,2,False
365 449 entrées,2,False
Universal Pictures,2,False
Le Petit Bureau,2,False
Chrysalis Films / Seven 7,2,False
Noé Productions,2,False
Hippocampe Productions,2,False
Happiness Distribution / Pyramide Distribution,2,False
Potemkine Editions,2,False
Mission,2,False
63 695 entrées,2,False
France 3,2,False
Vent d'Ouest Distribution,2,False
191 918 entrées,2,False
Sarah Films,2,False
Little Stone Distribution,2,False
First Look Pictures Releasing,2,False
Cinémadefacto,2,False
Commune Image,2,False
Rogue Pictures,2,False
Apollo Films / TF1 Studio,2,False
To Be Continued,2,False
86 639 entrées,2,False
Studio 37 / Rezo Films,2,False
Cartel Distrib,2,False
2 prix et 6 nominations,2,False
723 926 entrées,2,False
167 920 entrées,2,False
Esperanza Productions,2,False
Hélios Films,2,False
Blue Moon Distribution,2,False
Les Films du Whippet,2,False
Wild Side,2,False
Sony Pictures Home Entertainment,2,False
Jour2fête / Version Originale / Condor,2,False
Accatone Distribution,2,False
Les Enragés,2,False
Ecransud Distribution,2,False
Tadrart Films,2,False
78 193 entrées,2,False
Contre-Courants,2,False
New Story District,2,False
UFO Distribution / Potemkine Films,2,False
774 656 entrées,2,False
Surreal Distribution,2,False
Axxon Films,2,False
1 806 935 entrées,2,False
Studio Galande,2,False
Seven 7,2,False
Owls Agency,2,False
Paradis Films / Orange Studio,2,False
Cinégénie,1,False
30 118 entrées,1,False
Les Films Sauvages,1,False
Twentieth Century Fox,1,False
Commune Image Media,1,False
Wajnbrosse Productions,1,False
Artmell / Zootrope Films,1,False
Contre Allée Distribution,1,False
Films Connection,1,False
Quinta Communications,1,False
Burgos Films,1,False
Mob productions,1,False
Neffa Films,1,False
Les Films à un dollar,1,False
Silkroad Production,1,False
Paraiso / La Huit Distribution,1,False
Testukine / Jour2Fête,1,False
Les Films du Poisson,1,False
Le Chien qui Aboie,1,False
92 entrées,1,False
Arc en Ciel Films,1,False
Blue Monday Productions,1,False
Dyssomnia Films,1,False
Ciné-Sud Promotion,1,False
Mangoustine,1,False
Arcadès,1,False
Big Bang Films,1,False
Les Grands Films Classiques,1,False
105 entrées,1,False
Les Films de l'Astre,1,False
Les Productions Aléatoires,1,False
Seven Light,1,False
Tchoko-Tchoko Productions,1,False
UGC Distribution / TF1 Studio,1,False
Les Films du jour,1,False
Les Films Pelléas,1,False
3L Films,1,False
Merlin Films,1,False
Araprod,1,False
Condor Distribution / MUBI,1,False
La Huit,1,False
Caboche,1,False
Kréol Productions,1,False
Atlantis,1,False
Paris Black Films,1,False
291 entrées,1,False
Kinterfin,1,False
Orange Studio Distribution / Diaphana Distribution,1,False
La Mare Distribution,1,False
AMV Production/ AZ Films,1,False
Oreo,1,False
Contre-Courants / French Distribution,1,False
Alexart Films,1,False
Focus Features,1,False
Paramax Films,1,False
Trésor Cinéma / Mars Films,1,False
Orange studio / Urban Distribution,1,False
1 041 254 entrées,1,False
ADR Distribution,1,False
747 entrées,1,False
Donoma Guerilla / Commune Image Media,1,False
Côté Distribution,1,False
Deal,1,False
VP Distribution,1,False
EuropaCorp,1,False
Yaraa Distribution,1,False
Mitiki,1,False
758 012 entrées,1,False
Makadam Distribution,1,False
Little KMBO,1,False
Recidive,1,False
Geko Films,1,False
La Nouvelle Dimension,1,False
80 594 entrées,1,False
Perspective Films,1,False
6 prix et 12 nominations,1,False
Pirates Distribution,1,False
France Télévision Distribution,1,False
310 051 entrées,1,False
MLA FILMS,1,False
Goodfellas,1,False
Les Films 13 / Paname Distribution,1,False
2 prix et 3 nominations,1,False
3 prix et 4 nominations,1,False
Art House / KMBO,1,False
Dix-Huit jours,1,False
Vision Distribution,1,False
Almano Films,1,False
17 341 entrées,1,False
Sunday Films,1,False
Strutt Films,1,False
Cosmopolis Distribution,1,False
French distribution,1,False
CFA programmation et distribution,1,False
Elytel Film Distribution,1,False
Epicentre Films / Jour2fete,1,False
Acrobates Films,1,False
Sonata Films,1,False
KG Productions,1,False
IberiFilms,1,False
Cinétévé,1,False
Sedna Films,1,False
Paramount Classics,1,False
Acte Films,1,False
Paramount Home Entertainment,1,False
Les Films de l'Envers,1,False
Aldudarrak Bideo,1,False
Vent d'Ouest Production,1,False
Paraiso Production Diffusion,1,False
Cassia's productions,1,False
Aloest Distribution,1,False
Bodega Films / Help! Distribution,1,False
Paname Distribution / UFO,1,False
Thunder Films International,1,False
Bon Voyage Films,1,False
Re-Distribution,1,False
UGC Distribution / Orange Studio,1,False
Babaika,1,False
La Mer à Boire Productions,1,False
107 entrées,1,False
